episode,scores,steps
0,-10,157
1,-10,164
2,-10,177
3,-10,199
4,100,220
5,-10,236
6,100,249
7,-10,274
8,-10,308
9,-10,331
10,-10,346
11,-10,356
12,-10,366
13,100,372
14,-10,388
15,-10,412
16,-10,428
17,-10,449
18,-10,468
19,-10,481
20,-10,497
21,-10,521
22,-10,533
23,-10,550
24,-10,562
25,-10,572
26,-10,625
27,-10,646
28,-10,684
29,-10,722
30,-10,743
31,-10,774
32,-10,828
33,100,843
34,-10,862
35,-10,904
36,100,912
37,-10,943
38,-10,991
39,-10,1016
40,-10,1056
41,-10,1080
42,-10,1141
43,100,1173
44,-10,1221
45,-10,1245
46,-10,1302
47,-10,1371
48,100,1382
49,-10,1404
50,-10,1424
51,-10,1439
52,-10,1481
53,-10,1512
54,100,1582
55,-10,1620
56,-10,1641
57,-10,1671
58,-10,1698
59,100,1709
60,-10,1756
61,-10,1812
62,-10,1861
63,-10,1909
64,-10,1941
65,-10,1997
66,-10,2041
67,-10,2094
68,-10,2128
69,-10,2151
70,-10,2198
71,-10,2218
72,-10,2254
73,-10,2286
74,-10,2320
75,-10,2357
76,-10,2400
77,-10,2436
78,-10,2477
79,-10,2496
80,-10,2508
81,100,2526
82,-10,2540
83,-10,2564
84,-10,2649
85,100,2693
86,-10,2709
87,-10,2780
88,-10,2791
89,-10,2828
90,-10,2862
91,-10,2901
92,-10,2921
93,-10,2953
94,-10,2981
95,-10,3005
96,-10,3040
97,-10,3077
98,-10,3096
99,-10,3148
100,100,3172
101,-10,3209
102,-10,3222
103,-10,3249
104,-10,3283
105,-10,3308
106,-10,3326
107,-10,3350
108,-10,3385
109,-10,3430
110,-10,3448
111,-10,3472
112,-10,3501
113,100,3511
114,-10,3533
115,-10,3552
116,-10,3595
117,-10,3607
118,-10,3637
119,-10,3660
120,-10,3694
121,-10,3718
122,-10,3790
123,-10,3801
124,-10,3813
125,-10,3859
126,-10,3873
127,-10,3892
128,100,3930
129,-10,3950
130,-10,3976
131,-10,3994
132,-10,4008
133,-10,4048
134,-10,4076
135,-10,4110
136,-10,4123
137,-10,4159
138,100,4196
139,-10,4216
140,100,4264
141,100,4270
142,-10,4288
143,100,4305
144,-10,4326
145,-10,4349
146,-10,4373
147,100,4387
148,-10,4407
149,-10,4423
150,100,4449
151,-10,4476
152,-10,4495
153,-10,4509
154,-10,4525
155,-10,4550
156,-10,4576
157,-10,4596
158,100,4617
159,-10,4643
160,-10,4664
161,100,4688
162,-10,4719
163,-10,4738
164,-10,4772
165,100,4780
166,100,4792
167,-10,4829
168,-10,4888
169,-10,4906
170,100,4932
171,100,4959
172,-10,4989
173,-10,5021
174,100,5054
175,-10,5083
176,-10,5097
177,-10,5129
178,-10,5155
179,100,5182
180,-10,5226
181,100,5238
182,-10,5275
183,-10,5307
184,-10,5338
185,-10,5363
186,-10,5385
187,-10,5425
188,100,5447
189,-10,5462
190,100,5493
191,-10,5509
192,-10,5544
193,-10,5575
194,-10,5633
195,100,5687
196,100,5719
197,-10,5747
198,-10,5768
199,100,5792
200,100,5839
201,-10,5868
202,100,5909
203,-10,5949
204,100,5976
205,-10,5995
206,-10,6048
207,-10,6085
208,-10,6104
209,-10,6127
210,-10,6146
211,100,6161
212,-10,6182
213,100,6210
214,-10,6228
215,-10,6249
216,-10,6285
217,100,6313
218,-10,6343
219,-10,6371
220,100,6381
221,100,6395
222,100,6406
223,-10,6424
224,100,6476
225,-10,6516
226,-10,6552
227,-10,6572
228,100,6612
229,100,6622
230,-10,6683
231,-10,6711
232,-10,6734
233,100,6753
234,-10,6773
235,100,6782
236,100,6793
237,-10,6817
238,-10,6831
239,-10,6846
240,-10,6876
241,100,6881
242,-10,6898
243,-10,6918
244,-10,6936
245,-10,6951
246,-10,6981
247,-10,7016
248,100,7030
249,100,7064
250,-10,7103
251,100,7130
252,100,7136
253,-10,7186
254,100,7207
255,-10,7225
256,-10,7275
257,-10,7293
258,100,7310
259,100,7364
260,100,7404
261,100,7428
262,-10,7459
263,100,7488
264,-10,7512
265,100,7538
266,-10,7571
267,-10,7605
268,-10,7629
269,-10,7648
270,-10,7671
271,100,7688
272,100,7711
273,-10,7733
274,100,7749
275,100,7787
276,-10,7805
277,-10,7822
278,100,7853
279,-10,7871
280,100,7899
281,-10,7949
282,-10,7980
283,-10,7996
284,-10,8013
285,-10,8033
286,100,8051
287,100,8096
288,-10,8113
289,100,8119
290,100,8123
291,100,8155
292,-10,8178
293,100,8217
294,-10,8237
295,-10,8257
296,100,8273
297,-10,8309
298,100,8336
299,-10,8365
300,-10,8397
301,100,8421
302,-10,8456
303,100,8464
304,-10,8498
305,100,8541
306,-10,8569
307,100,8610
308,-10,8634
309,100,8656
310,100,8673
311,-10,8697
312,100,8714
313,100,8746
314,-10,8764
315,100,8782
316,-10,8811
317,-10,8828
318,-10,8851
319,-10,8896
320,100,8915
321,-10,8936
322,-10,8965
323,-10,8981
324,100,8991
325,100,9025
326,-10,9057
327,100,9070
328,-10,9088
329,100,9111
330,100,9129
331,-10,9158
332,100,9192
333,100,9217
334,-10,9233
335,-10,9246
336,100,9262
337,-10,9278
338,-10,9295
339,-10,9318
340,-10,9339
341,100,9372
342,100,9387
343,100,9432
344,-10,9449
345,100,9459
346,100,9478
347,100,9500
348,100,9511
349,100,9520
350,-10,9538
351,100,9557
352,-10,9576
353,-10,9610
354,-10,9648
355,100,9661
356,-10,9687
357,100,9700
358,100,9723
359,100,9770
360,100,9824
361,100,9846
362,100,9869
363,100,9874
364,-10,9908
365,-10,9928
366,100,9955
367,100,9975
368,-10,9990
369,100,10008
370,-10,10021
371,100,10035
372,-10,10059
373,100,10103
374,-10,10118
375,100,10193
376,100,10211
377,100,10224
378,100,10254
379,100,10267
380,-10,10283
381,100,10303
382,-10,10321
383,-10,10353
384,-10,10369
385,100,10382
386,-10,10416
387,100,10429
388,100,10449
389,-10,10471
390,-10,10487
391,100,10506
392,-10,10532
393,100,10542
394,100,10560
395,100,10567
396,-10,10578
397,-10,10607
398,100,10654
399,-10,10682
400,100,10696
401,100,10711
402,100,10725
403,100,10728
404,-10,10745
405,100,10765
406,100,10768
407,-10,10801
408,100,10851
409,100,10870
410,-10,10885
411,100,10900
412,100,10907
413,-10,10924
414,100,10942
415,-10,10964
416,100,10978
417,100,10985
418,-10,11000
419,-10,11016
420,-10,11030
421,100,11048
422,100,11063
423,100,11079
424,100,11085
425,-10,11099
426,-10,11129
427,100,11150
428,100,11176
429,-10,11192
430,-10,11226
431,-10,11242
432,-10,11259
433,100,11290
434,-10,11312
435,100,11333
436,100,11342
437,100,11360
438,100,11363
439,-10,11387
440,100,11406
441,100,11425
442,100,11433
443,-10,11459
444,-10,11479
445,-10,11495
446,-10,11509
447,-10,11527
448,-10,11562
449,-10,11581
450,100,11591
451,-10,11605
452,-10,11622
453,100,11629
454,100,11647
455,100,11670
456,-10,11683
457,100,11702
458,-10,11718
459,100,11756
460,100,11762
461,100,11803
462,100,11840
463,100,11865
464,-10,11885
465,-10,11921
466,-10,11938
467,100,11947
468,-10,11963
469,100,11987
470,-10,12003
471,100,12046
472,-10,12063
473,-10,12077
474,100,12105
475,100,12145
476,100,12160
477,100,12166
478,-10,12181
479,-10,12203
480,100,12206
