scores,steps,episode
-10.0,189,1
-10.0,475,2
100.0,519,3
-10.0,601,4
-10.0,669,5
-10.0,713,6
-10.0,767,7
-10.0,967,8
-10.0,1039,9
100.0,1534,10
100.0,1819,11
100.0,1966,12
-10.0,2013,13
-10.0,2066,14
-10.0,2121,15
-10.0,2165,16
100.0,2219,17
-10.0,2266,18
-10.0,2293,19
-10.0,2334,20
-10.0,2377,21
100.0,2542,22
100.0,2745,23
-10.0,2800,24
-10.0,2951,25
100.0,3064,26
100.0,3167,27
-10.0,3265,28
-10.0,3345,29
-10.0,3468,30
-10.0,3517,31
100.0,3550,32
-10.0,3581,33
-10.0,3622,34
-10.0,3693,35
-10.0,3750,36
100.0,3805,37
-10.0,3866,38
-10.0,3893,39
100.0,3912,40
-10.0,3942,41
-10.0,4018,42
100.0,4020,43
100.0,4074,44
-10.0,4119,45
-10.0,4196,46
100.0,4259,47
-10.0,4312,48
-10.0,4346,49
-10.0,4392,50
-10.0,4527,51
100.0,4582,52
100.0,4641,53
100.0,4706,54
100.0,4782,55
-10.0,4893,56
-10.0,4969,57
-10.0,5002,58
-10.0,5075,59
-10.0,5120,60
-10.0,5185,61
100.0,5276,62
-10.0,5345,63
-10.0,5376,64
-10.0,5441,65
-10.0,5469,66
-10.0,5535,67
100.0,5648,68
100.0,5696,69
-10.0,5727,70
100.0,5813,71
-10.0,5864,72
-10.0,5962,73
-10.0,6004,74
-10.0,6046,75
-10.0,6231,76
-10.0,6732,77
-10.0,6825,78
-10.0,6913,79
100.0,7055,80
-10.0,7176,81
100.0,7239,82
100.0,7296,83
100.0,7359,84
100.0,7381,85
100.0,7429,86
100.0,7482,87
-10.0,7521,88
100.0,7620,89
-10.0,7697,90
100.0,7790,91
-10.0,7845,92
100.0,7873,93
-10.0,7966,94
-10.0,8018,95
-10.0,8085,96
-10.0,8118,97
100.0,8179,98
-10.0,8226,99
-10.0,8272,100
-10.0,8323,101
-10.0,8379,102
-10.0,8437,103
-10.0,8503,104
100.0,8580,105
-10.0,8631,106
-10.0,8692,107
-10.0,8793,108
-10.0,8862,109
-10.0,8985,110
100.0,9057,111
100.0,9179,112
-10.0,9268,113
-10.0,9299,114
-10.0,9443,115
100.0,9501,116
-10.0,9560,117
100.0,9643,118
-10.0,9745,119
100.0,9925,120
100.0,10066,121
-10.0,10134,122
100.0,10190,123
-10.0,10300,124
-10.0,10432,125
-10.0,10565,126
100.0,10647,127
100.0,10792,128
100.0,10869,129
-10.0,11020,130
-10.0,11106,131
100.0,11202,132
-10.0,11297,133
100.0,11316,134
100.0,11397,135
100.0,11440,136
100.0,11483,137
-10.0,11566,138
-10.0,11606,139
-10.0,11707,140
-10.0,11757,141
-10.0,11804,142
100.0,11883,143
100.0,11913,144
100.0,11959,145
100.0,11980,146
-10.0,12021,147
100.0,12064,148
100.0,12141,149
-10.0,12248,150
100.0,12315,151
-10.0,12352,152
100.0,12371,153
-10.0,12408,154
-10.0,12495,155
-10.0,12538,156
100.0,12659,157
-10.0,12698,158
100.0,12756,159
100.0,12854,160
-10.0,13130,161
-10.0,13192,162
-10.0,13693,163
-10.0,13882,164
-10.0,13951,165
-10.0,14026,166
100.0,14189,167
100.0,14258,168
-10.0,14289,169
100.0,14502,170
-10.0,14553,171
-10.0,14592,172
100.0,14635,173
-10.0,14675,174
-10.0,14723,175
-10.0,14762,176
100.0,14815,177
100.0,14851,178
-10.0,14899,179
-10.0,14940,180
100.0,15037,181
-10.0,15111,182
100.0,15199,183
-10.0,15236,184
-10.0,15282,185
100.0,15356,186
-10.0,15413,187
-10.0,15452,188
100.0,15483,189
100.0,15610,190
100.0,15664,191
100.0,15737,192
100.0,15772,193
100.0,15817,194
-10.0,15888,195
-10.0,15996,196
-10.0,16050,197
-10.0,16086,198
100.0,16136,199
-10.0,16179,200
100.0,16320,201
100.0,16455,202
-10.0,16524,203
100.0,16683,204
-10.0,16730,205
100.0,16795,206
-10.0,16842,207
-10.0,16908,208
100.0,16959,209
100.0,17037,210
100.0,17047,211
-10.0,17091,212
100.0,17154,213
-10.0,17191,214
-10.0,17312,215
-10.0,17415,216
-10.0,17533,217
-10.0,17582,218
100.0,17716,219
100.0,17745,220
100.0,17792,221
-10.0,17849,222
-10.0,17884,223
100.0,17948,224
100.0,17998,225
100.0,18083,226
-10.0,18138,227
-10.0,18235,228
-10.0,18268,229
100.0,18343,230
100.0,18414,231
100.0,18501,232
100.0,18612,233
100.0,18689,234
-10.0,18730,235
-10.0,18785,236
100.0,18846,237
-10.0,18888,238
100.0,18984,239
-10.0,19051,240
-10.0,19119,241
100.0,19273,242
100.0,19354,243
-10.0,19407,244
100.0,19493,245
100.0,19585,246
-10.0,19612,247
-10.0,19681,248
-10.0,19716,249
-10.0,19771,250
100.0,19918,251
100.0,19993,252
100.0,20104,253
100.0,20187,254
100.0,20274,255
-10.0,20386,256
100.0,20415,257
-10.0,20483,258
-10.0,20578,259
100.0,20633,260
-10.0,20667,261
-10.0,20762,262
-10.0,20791,263
100.0,20885,264
-10.0,20935,265
100.0,20984,266
-10.0,21023,267
-10.0,21058,268
-10.0,21139,269
100.0,21150,270
100.0,21241,271
-10.0,21304,272
-10.0,21333,273
-10.0,21368,274
100.0,21441,275
-10.0,21552,276
100.0,21642,277
100.0,21692,278
-10.0,21743,279
-10.0,21819,280
-10.0,21854,281
-10.0,21929,282
-10.0,21971,283
100.0,22030,284
100.0,22083,285
100.0,22149,286
-10.0,22260,287
100.0,22330,288
-10.0,22398,289
-10.0,22508,290
-10.0,22587,291
100.0,22620,292
100.0,22685,293
100.0,22832,294
100.0,22879,295
100.0,22960,296
-10.0,23011,297
-10.0,23074,298
100.0,23141,299
-10.0,23181,300
100.0,23241,301
100.0,23282,302
-10.0,23310,303
100.0,23402,304
100.0,23459,305
100.0,23582,306
-10.0,23637,307
-10.0,23738,308
-10.0,23767,309
-10.0,23808,310
-10.0,23848,311
100.0,23900,312
100.0,24001,313
100.0,24070,314
-10.0,24151,315
100.0,24300,316
-10.0,24348,317
100.0,24428,318
100.0,24503,319
-10.0,24586,320
-10.0,24639,321
-10.0,24682,322
100.0,24721,323
-10.0,24752,324
100.0,24819,325
-10.0,24872,326
100.0,24883,327
-10.0,24975,328
-10.0,25061,329
100.0,25166,330
100.0,25193,331
100.0,25252,332
100.0,25314,333
100.0,25364,334
100.0,25393,335
100.0,25446,336
-10.0,25505,337
100.0,25560,338
-10.0,25667,339
-10.0,25757,340
100.0,25878,341
-10.0,25953,342
100.0,25999,343
-10.0,26082,344
100.0,26154,345
100.0,26231,346
100.0,26280,347
100.0,26393,348
100.0,26416,349
100.0,26559,350
-10.0,26616,351
100.0,26681,352
-10.0,26712,353
-10.0,26763,354
-10.0,26821,355
100.0,26949,356
-10.0,27046,357
-10.0,27088,358
100.0,27154,359
100.0,27175,360
-10.0,27242,361
100.0,27361,362
-10.0,27394,363
100.0,27459,364
-10.0,27492,365
-10.0,27577,366
100.0,27616,367
-10.0,27677,368
-10.0,27768,369
-10.0,27829,370
-10.0,27876,371
100.0,27987,372
-10.0,28061,373
100.0,28111,374
100.0,28158,375
100.0,28237,376
100.0,28270,377
100.0,28272,378
100.0,28328,379
-10.0,28385,380
-10.0,28453,381
-10.0,28489,382
100.0,28562,383
100.0,28693,384
-10.0,28734,385
100.0,28805,386
100.0,28862,387
-10.0,28923,388
100.0,29066,389
-10.0,29173,390
100.0,29308,391
100.0,29427,392
100.0,29492,393
100.0,29567,394
-10.0,29619,395
100.0,29747,396
-10.0,29806,397
-10.0,29849,398
100.0,29873,399
100.0,29973,400
-10.0,30044,401
-10.0,30081,402
-10.0,30142,403
100.0,30185,404
100.0,30302,405
100.0,30381,406
-10.0,30484,407
100.0,30613,408
100.0,30638,409
100.0,30744,410
-10.0,30804,411
100.0,30924,412
100.0,31029,413
100.0,31122,414
100.0,31247,415
-10.0,31283,416
100.0,31303,417
100.0,31322,418
100.0,31383,419
-10.0,31425,420
-10.0,31483,421
-10.0,31534,422
-10.0,31575,423
-10.0,31670,424
100.0,31735,425
-10.0,31808,426
100.0,31901,427
100.0,32004,428
-10.0,32055,429
100.0,32114,430
-10.0,32211,431
-10.0,32276,432
-10.0,32370,433
100.0,32450,434
-10.0,32511,435
-10.0,32546,436
-10.0,32634,437
-10.0,32746,438
100.0,32822,439
-10.0,32868,440
-10.0,32915,441
100.0,32940,442
-10.0,33049,443
-10.0,33162,444
-10.0,33279,445
-10.0,33386,446
-10.0,33463,447
-10.0,33530,448
-10.0,33589,449
100.0,33618,450
100.0,33663,451
100.0,33766,452
100.0,33831,453
100.0,33848,454
-10.0,33891,455
-10.0,33990,456
100.0,34161,457
-10.0,34207,458
-10.0,34247,459
-10.0,34278,460
100.0,34337,461
100.0,34402,462
-10.0,34442,463
100.0,34524,464
100.0,34617,465
100.0,34704,466
100.0,34795,467
-10.0,34852,468
100.0,34925,469
100.0,35039,470
100.0,35151,471
-10.0,35197,472
100.0,35337,473
-10.0,35374,474
100.0,35505,475
-10.0,35613,476
100.0,35668,477
100.0,35704,478
-10.0,35754,479
100.0,35863,480
100.0,35924,481
-10.0,35974,482
-10.0,36022,483
100.0,36117,484
-10.0,36170,485
100.0,36215,486
100.0,36271,487
-10.0,36349,488
-10.0,36396,489
100.0,36441,490
-10.0,36492,491
-10.0,36546,492
-10.0,36582,493
100.0,36641,494
100.0,36764,495
-10.0,36805,496
-10.0,36858,497
100.0,36934,498
100.0,37070,499
100.0,37169,500
100.0,37304,501
100.0,37401,502
100.0,37500,503
-10.0,37571,504
100.0,37573,505
100.0,37709,506
100.0,37807,507
100.0,37855,508
100.0,37916,509
-10.0,38021,510
100.0,38102,511
-10.0,38165,512
-10.0,38212,513
100.0,38265,514
-10.0,38339,515
-10.0,38427,516
-10.0,38496,517
-10.0,38566,518
-10.0,38642,519
-10.0,38700,520
100.0,38786,521
-10.0,38857,522
-10.0,38996,523
100.0,39041,524
-10.0,39164,525
-10.0,39234,526
100.0,39278,527
100.0,39280,528
100.0,39360,529
-10.0,39445,530
-10.0,39488,531
100.0,39557,532
-10.0,39642,533
100.0,39797,534
-10.0,39833,535
100.0,39887,536
-10.0,39964,537
-10.0,40029,538
-10.0,40076,539
-10.0,40129,540
-10.0,40162,541
100.0,40187,542
-10.0,40302,543
100.0,40365,544
-10.0,40436,545
100.0,40487,546
-10.0,40560,547
100.0,40641,548
100.0,40705,549
-10.0,40759,550
100.0,40853,551
-10.0,40940,552
-10.0,41050,553
-10.0,41104,554
100.0,41173,555
100.0,41242,556
-10.0,41279,557
100.0,41364,558
100.0,41441,559
-10.0,41478,560
-10.0,41518,561
-10.0,41584,562
100.0,41781,563
-10.0,41836,564
100.0,41897,565
-10.0,41947,566
-10.0,42025,567
-10.0,42108,568
100.0,42199,569
-10.0,42238,570
-10.0,42277,571
100.0,42360,572
-10.0,42431,573
-10.0,42504,574
-10.0,42631,575
-10.0,42671,576
100.0,42773,577
-10.0,42810,578
100.0,42897,579
100.0,42996,580
-10.0,43050,581
100.0,43166,582
-10.0,43222,583
-10.0,43252,584
-10.0,43327,585
100.0,43416,586
-10.0,43467,587
100.0,43546,588
100.0,43627,589
-10.0,43667,590
-10.0,43727,591
100.0,43798,592
-10.0,43834,593
